tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1974-D012,Davis Cup SAM PQ: BRA vs RSA,Clay,4,D,19731214,1,D082,,,Cliff Drysdale,R,188,RSA,32.553,26,53,M135,,,Jose Edison Mandarino,R,173,BRA,32.72,126,6.5,6-3 6-0 6-0,5,RR,,,,,,,,,,,,,,,,,,,
1974-D012,Davis Cup SAM PQ: BRA vs RSA,Clay,4,D,19731214,2,H058,,,Bob Hewitt,R,191,RSA,33.922,133,3,K036,,,Thomaz Koch,L,,BRA,28.594,,,6-2 6-1 3-6 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1974-D012,Davis Cup SAM PQ: BRA vs RSA,Clay,4,D,19731214,3,D082,,,Cliff Drysdale,R,188,RSA,32.553,26,53,K009,,,Carlos Kirmayr,R,173,BRA,23.225,,,2-6 6-4 2-6 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1974-D012,Davis Cup SAM PQ: BRA vs RSA,Clay,4,D,19731214,4,H058,,,Bob Hewitt,R,191,RSA,33.922,133,3,110850,,,Roberto Vaz Carvalhaes,U,,BRA,20.137,,,6-0 6-3 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1974-D017,Davis Cup AME PR: MEX vs CAN,Clay,4,D,19731123,1,L066,,,Joaquin Loyo-Mayo,R,,MEX,28.271,145,4,G072,,,Rejean Genois,R,175,CAN,20.898,,,6-4 10-8 3-6 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1974-D017,Davis Cup AME PR: MEX vs CAN,Clay,4,D,19731123,2,R065,,,Raul Ramirez,R,183,MEX,20.427,24,45,B120,,,Tony Bardsley,R,,CAN,28.786,196,0.5,6-1 6-3 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1974-D017,Davis Cup AME PR: MEX vs CAN,Clay,4,D,19731123,3,L066,,,Joaquin Loyo-Mayo,R,,MEX,28.271,145,4,M947,,,Don McCormick,R,180,CAN,28.616,,,6-1 6-2 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1974-D017,Davis Cup AME PR: MEX vs CAN,Clay,4,D,19731123,4,G072,,,Rejean Genois,R,175,CAN,20.898,,,B009,,,Luis Baraldi,R,,MEX,22.092,,,9-7 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1974-D022,Davis Cup SAM PR: COL vs VEN,,4,D,19731123,1,V294,,,Jairo Velasco Sr.,R,173,ESP,26.543,,,H064,,,Humphrey Hose,R,,VEN,26.557,196,0.5,9-7 7-5 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1974-D022,Davis Cup SAM PR: COL vs VEN,,4,D,19731123,2,A080,,,Orlando Agudelo,R,,COL,,,,A061,,,Jorge Andrew,R,511,VEN,22.059,,,6-4 6-2 4-6 8-6,5,RR,,,,,,,,,,,,,,,,,,,
1974-D022,Davis Cup SAM PR: COL vs VEN,,4,D,19731123,3,H064,,,Humphrey Hose,R,,VEN,26.557,196,0.5,A080,,,Orlando Agudelo,R,,COL,,,,6-1 7-5 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1974-D022,Davis Cup SAM PR: COL vs VEN,,4,D,19731123,4,V294,,,Jairo Velasco Sr.,R,173,ESP,26.543,,,A061,,,Jorge Andrew,R,511,VEN,22.059,,,6-3 6-1 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1974-D021,Davis Cup EUR SF: COL vs MEX,,4,D,19731207,1,V294,,,Jairo Velasco Sr.,R,173,ESP,26.582,,,L066,,,Joaquin Loyo-Mayo,R,,MEX,28.309,146,4,6-3 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1974-D021,Davis Cup EUR SF: COL vs MEX,,4,D,19731207,2,M152,,,Ivan Molina,L,,COL,27.477,56,19,R065,,,Raul Ramirez,R,183,MEX,20.465,24,45,6-1 6-1 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1974-D021,Davis Cup EUR SF: COL vs MEX,,4,D,19731207,3,M152,,,Ivan Molina,L,,COL,27.477,56,19,L066,,,Joaquin Loyo-Mayo,R,,MEX,28.309,146,4,7-5 1-6 6-3 6-3,5,RR,,,,,,,,,,,,,,,,,,,
