tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1979-D016,Davis Cup EUR SF: MEX vs COL,Clay,4,D,19781208,1,V294,,,Jairo Velasco Sr.,R,173,ESP,31.584,,,C146,,,Roberto Chavez,R,,MEX,,279,19,6-2 6-2 3-6 6-8 8-6,5,RR,,,,,,,,,,,,,,,,,,,
1979-D016,Davis Cup EUR SF: MEX vs COL,Clay,4,D,19781208,2,M152,,,Ivan Molina,L,,COL,32.479,106,118,R065,,,Raul Ramirez,R,183,MEX,25.467,8,895,8-6 8-6 5-7 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1979-D016,Davis Cup EUR SF: MEX vs COL,Clay,4,D,19781208,3,R065,,,Raul Ramirez,R,183,MEX,25.467,8,895,V294,,,Jairo Velasco Sr.,R,173,ESP,31.584,,,6-1 7-5 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1979-D016,Davis Cup EUR SF: MEX vs COL,Clay,4,D,19781208,4,M152,,,Ivan Molina,L,,COL,32.479,106,118,C146,,,Roberto Chavez,R,,MEX,,279,19,6-2 6-3 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,1,V028,1,,Guillermo Vilas,L,180,ARG,26.374,3,686,P077,,,Noel Phillips,R,,AUS,28.764,174,53,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,2,C079,,,Peter Campbell,R,,AUS,28.142,174,53,P078,,,Barry Phillips-Moore,R,173,AUS,41.481,318,14,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,3,R072,,,Terry Rocavert,R,180,AUS,23.198,118,114,B217,,Q,Ian Bersin,R,,AUS,,,,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,4,M051,6,,Peter McNamara,R,185,AUS,23.493,77,146,E066,,,Ernie Ewert,R,,AUS,24.575,412,6,6-7 6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,5,D074,3,,Phil Dent,R,183,AUS,28.879,84,172,M136,,,John Marks,R,,AUS,26.062,188,67,6-4 4-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,6,T040,,,Ion Tiriac,R,,ROU,39.65,267,21,R148,,Q,Andrew Rae,R,,AUS,,485,3,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,7,B106,,,Syd Ball,R,188,AUS,28.936,295,17,D146,,Q,Paul Dogherty,R,,AUS,,,,6-1 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,8,K044,,,Chris Kachel,R,,AUS,23.537,222,33,G070,7,,Alvin Gardiner,R,,AUS,27.888,80,94,7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,9,E005,5,,Mark Edmondson,R,185,AUS,24.523,81,133,C072,,,David Carter,R,183,AUS,22.697,132,110,4-6 7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,10,T078,,,John Trickey,R,,AUS,,328,13,M133,,,Warren Maher,R,,AUS,21.96,217,49,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,11,D040,,,Brad Drewett,L,185,AUS,20.454,132,60,C093,,,Dick Crealy,R,,AUS,34.286,140,159,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,12,G074,4,,Bob Giltinan,R,,AUS,29.736,82,139,W092,,Q,David Whyte,R,,AUS,,451,4,7-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,13,L062,8,,Cliff Letcher,R,,AUS,26.894,168,93,M180,,,Stephen Myers,R,,AUS,,381,8,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,14,C080,,,Bob Carmichael,R,183,AUS,38.494,189,42,B184,,,Greg Braun,R,,AUS,,297,16,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1979-713,Hobart,Hard,32,A,19790101,15,E071,,,Victor Eke,R,,AUS,24.14,254,25,R076,,,Ray Ruffels,R,,AUS,32.778,151,53,6-7 6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,
